0	5407	18,560,4811,559,4829,586,1229,554,4276,4237,562,572,566,4244,571,582,4801,627,14026,4264,1221,569,570,3833,20782,581,574,4242,577,580,561,18043,4827,579,558,578,573,4288,4790,4266,1986,3801,16490,565,1140,1145,1507,4281,4898,4812,15682,1223,1218,4253,1874,1228,14404,4257,1174,18021,4252,442,16508,23303,10294,3800,4271,4873,4895,4259,11315,4249,18044,626,17589,1227,609,1226,23872,4272,4825,4247,4864,568,4870,4256,4263,4868,4854,4896,16497,1224,4251,4243,4806,4241,1225,18020,4270,4807
1	2020	2091,5851,3045,651,18,67,7138,2180,4100,2392,859,4740,2493,2179,2251,3317,3049,5850,3331,3383,2090,2088,28,650,2648,2349,10687,2367,11997,2434,13818,2437,1415,2503,2679,2150,608,4385,9705,2400,2187,2252,3307,27,7077,3059,1420,1421,2394,5276,5295,9721,5292,2089,2438,656,7007,2456,398,8941,6091,4429,2177,13820,3025,11585,1391,3295,796,3345,15489,3020,5372,2350,3051,5802,3238,2724,5634,3390,6094,2454,11622,2680,5629,3121,3023,11593,3123,2435,13814,2357,10626,5224,2403,9726,15494,3024,3670,5636
2	3998	15299,15309,10920,1969,15302,15311,107,15279,15297,14644,15304,1939,3698,10916,10899,12645,2871,15301,1940,10904,10896,10898,15261,10917,10897,10918,10903,10914,10909,10913,10912,10906,10919,15298,15253,25319,23792,13371,10907,10911,15287,15293,14802,13207,13374,15237,3874,10902,1937,15303,10905,10901,18274,13193,1938,10915,16071,3886,21476,10900,12642,3732,16031,13369,12628,3891,15289,15268,15282,12636,10910,12627,12624,15286,4016,16974,16055,3460,12626,13209,15306,16019,19706,15262,4019,16068,4015,3826,15254,16056,15255,12625,15310,15281,12629,12644,15197,10895,19712,16084
3	4188	60,730,1,6,729,7,2,52,1893,59,8239,481,487,859,1309,449,463,18,451,4214,2133,1312,491,694,1330,6382,4740,1262,5,2124,488,51,472,485,11390,2711,752,1429,9983,2362,1556,904,2045,28,465,691,1896,70,4296,10675,69,906,3402,751,27,20040,1345,821,1279,13705,2638,72,1362,109,2517,6440,2150,650,73,1910,86,1277,656,5101,2789,77,902,1275,678,796,733,897,1287,1559,1539,460,92,26,3766,714,1622,1431,1264,1290,6812,731,7967,1935,2985,87
4	3499	60,730,1,729,7,6,52,1893,2,59,487,463,1309,1312,481,449,1262,451,752,491,2124,485,70,904,72,1575,751,694,1362,1429,2711,2069,2133,1345,906,2638,5,897,733,4543,69,742,1559,1911,95,1431,77,91,3766,1264,86,1304,74,678,1279,761,1452,1453,1556,731,51,754,727,460,2789,2571,1896,6850,6116,53,488,691,2120,2625,3078,739,1526,1332,1290,1310,3097,1539,1614,776,1313,1909,1287,465,1549,1277,87,16699,1296,1564,3773,3102,1780,868,3452,1927
5	5323	17096,2653,10519,696,20198,849,16424,17844,2097,2669,25164,2093,8633,20770,16178,20769,22185,10525,5424,3444,16425,2670,21593,30634,10524,5435,5615,17846,854,17095,21054,26713,851,28605,11403,21053,9818,25513,26286,13989,25491,21589,22189,850,5429,10527,5428,2652,2657,17230,25160,23975,2094,14076,20193,13988,28767,2038,2664,17845,11406,26065,15960,2661,12327,10532,16546,2036,21587,25732,21584,20194,25670,15529,5419,20192,5430,15698,16475,24837,9817,16423,16422,15540,25161,2095,10528,853,26678,22186,15534,10523,25162,21599,8605,2659,16478,20197,23960,8634
6	5537	19121,23198,29687,12536,17323,12539,21921,28834,19136,23889,26941,30278,29299,24459,19133,17290,24456,26929,29109,28625,30346,29932,17340,29520,24455,29158,17342,28864,29533,17303,29575,17298,31193,19120,28840,23004,12537,29471,17262,29501,23003,24460,12538,29108,29149,17352,29882,29511,28841,29100,30183,30717,24221,28866,28671,28624,31637,30746,30336,30714,17257,29402,22996,29160,30182,29467,17273,28863,28620,24473,29692,21352,12541,30743,17278,24224,23544,26935,17304,12542,31432,29150,29143,29689,17364,29148,17353,19124,17288,26932,17317,28836,17371,29509,26931,30985,31184,17368,21833,31435
7	3471	591,834,2238,3144,11139,15785,832,10619,23432,9479,7436,2222,2239,2231,10984,17401,2225,15796,6952,6953,15786,9454,10992,224,16014,23646,11955,2237,11601,10620,11481,9483,15792,2219,11352,7451,12138,11449,12130,11956,2233,10997,14638,5389,17395,2228,2235,12188,4409,7441,120,3146,14083,14445,11286,17381,15752,15716,14432,18657,11598,22106,7555,2234,11247,17389,227,9500,12147,12151,14331,10597,11142,25844,3639,13750,11366,833,20255,17599,3145,138,14595,115,17388,17456,12129,23645,17473,11959,15739,12878,7395,14429,10993,18965,12125,23671,12121,226
8	3886	60,730,729,6,52,1893,2,59,487,463,1309,460,1312,481,1330,449,871,61,1427,1262,1559,451,1923,1453,752,904,2124,491,1452,694,751,72,1429,2133,2711,897,5101,703,906,2638,5,70,736,902,69,1345,733,678,1362,1431,1264,1543,3428,1304,86,1911,716,51,2045,488,1279,3766,1556,3819,1918,91,731,1927,742,459,761,7592,2159,6816,1896,1611,2789,1425,58,53,754,2545,95,6850,6672,1332,10171,2120,691,1590,77,739,2601,465,1290,1926,709,1910,1539,1313
9	3710	60,730,1,485,61,7,729,6,703,52,2,1893,487,59,1427,460,463,1309,1312,1611,871,58,481,1330,459,82,1923,54,3443,1559,472,449,1262,718,451,491,713,752,6816,2124,2069,904,72,2133,751,694,70,5122,5,5045,709,1429,897,2711,2552,906,1362,1345,5101,51,710,488,1575,5141,462,468,3428,733,4543,1452,902,2146,736,10826,722,742,1918,680,1543,69,2013,708,1431,95,1304,2045,1264,91,8352,3766,77,464,687,3441,447,3448,9091,1556,691,761
